Date,City,GreenCoverage_NDVI,HousingDensity_p_km2,FloodProb_longterm,DroughtIndex_anom,PM25_ug_m3,SurfaceTemp_LST_C
2024-10-01,Kuching,0.617,1500,5,0.379,11,31.7
2024-10-02,Kuching,0.616,1500,5,0.411,9,31.7
2024-10-03,Kuching,0.623,1500,5,0.405,10,30.5
2024-10-04,Kuching,0.638,1500,5,0.413,6.7,31.2
2024-10-05,Kuching,0.633,1500,5,0.288,9.3,31.5
2024-10-06,Kuching,0.629,1500,5,0.301,10.4,32.1
2024-10-07,Kuching,0.644,1500,5,0.383,10.9,30.3
2024-10-08,Kuching,0.649,1500,5,0.595,12.8,31.7
2024-10-09,Kuching,0.64,1500,5,0.701,15.8,31.6
2024-10-10,Kuching,0.643,1500,5,0.969,17,32.3
2024-10-11,Kuching,0.636,1500,5,0.759,12.3,31.5
2024-10-12,Kuching,0.63,1500,5,0.825,9.4,31.9
2024-10-13,Kuching,0.632,1500,5,0.778,8.3,31.2
2024-10-14,Kuching,0.612,1500,5,1.038,8.6,30.9
2024-10-15,Kuching,0.597,1500,5,0.809,9.9,32.1
2024-10-16,Kuching,0.596,1500,5,0.608,8.5,31.9
2024-10-17,Kuching,0.591,1500,5,0.474,9.1,31.9
2024-10-18,Kuching,0.6,1500,5,0.13,7.7,32.4
2024-10-19,Kuching,0.595,1500,5,0.076,6.9,32.5
2024-10-20,Kuching,0.587,1500,5,-0.005,4.5,32.4
2024-10-21,Kuching,0.608,1500,5,0.062,3.5,32.5
2024-10-22,Kuching,0.61,1500,5,0.147,3,33.7
2024-10-23,Kuching,0.614,1500,5,0.448,3,33.3
2024-10-24,Kuching,0.603,1500,5,0.565,4.5,33.1
2024-10-25,Kuching,0.602,1500,5,0.434,3.4,33.5
2024-10-26,Kuching,0.608,1500,5,0.274,9.7,33.8
2024-10-27,Kuching,0.601,1500,5,0.346,10.7,34.1
2024-10-28,Kuching,0.61,1500,5,0.134,11,34.1
2024-10-29,Kuching,0.608,1500,5,0.426,9.1,32.9
2024-10-30,Kuching,0.61,1500,5,0.576,10.6,33.6
2024-10-31,Kuching,0.608,1500,5,0.455,9.4,32.6
2024-11-01,Kuching,0.632,1500,5,0.165,9.7,32.5
2024-11-02,Kuching,0.633,1500,5,0.377,14.9,31.8
2024-11-03,Kuching,0.624,1500,5,0.336,13.9,31.7
2024-11-04,Kuching,0.635,1500,5,0.504,15.7,31.8
2024-11-05,Kuching,0.624,1500,5,0.221,13.4,31.8
2024-11-06,Kuching,0.629,1500,5,0.128,12.8,32
2024-11-07,Kuching,0.612,1500,5,0.139,15.9,32.8
2024-11-08,Kuching,0.604,1500,5,0.154,13.8,32.7
2024-11-09,Kuching,0.612,1500,5,0.092,16.9,32.3
